time,pnl_r,type,symbol,dollar_pnl,balance,drawdown
2025-12-30 20:25:00,2.0,SNIPER,EURJPY,97.0,3758.75,-65.8965896589659
2025-12-30 21:15:00,-1.0,SNIPER,GBPJPY,-48.5,3710.25,-66.33663366336634
2025-12-30 21:25:00,-1.0,SNIPER,ETHUSD,-48.5,3661.75,-66.77667766776678
2025-12-30 23:50:00,-1.0,SNIPER,AUDJPY,-48.5,3613.25,-67.21672167216721
2025-12-31 00:05:00,-1.0,SNIPER,AUDUSD,-48.5,3564.75,-67.65676567656766
2025-12-31 00:15:00,-1.0,SNIPER,EURGBP,-48.5,3516.25,-68.0968096809681
2025-12-31 00:45:00,-1.0,SNIPER,EURUSD,-48.5,3467.75,-68.53685368536854
2025-12-31 00:55:00,2.0,SNIPER,GBPCAD,97.0,3564.75,-67.65676567656766
2025-12-31 00:55:00,-1.0,SNIPER,USDJPY,-48.5,3516.25,-68.0968096809681
2025-12-31 00:55:00,-1.0,SNIPER,ETHUSD,-48.5,3467.75,-68.53685368536854
2025-12-31 01:00:00,2.0,SNIPER,CADCHF,97.0,3564.75,-67.65676567656766
2025-12-31 01:00:00,-1.0,SNIPER,GBPUSD,-48.5,3516.25,-68.0968096809681
2025-12-31 01:05:00,2.0,SNIPER,GBPJPY,97.0,3613.25,-67.21672167216721
2025-12-31 01:05:00,-1.0,SNIPER,EURJPY,-48.5,3564.75,-67.65676567656766
2025-12-31 01:30:00,-1.0,SNIPER,NZDUSD,-48.5,3516.25,-68.0968096809681
2025-12-31 01:35:00,-1.0,SNIPER,AUDNZD,-48.5,3467.75,-68.53685368536854
2025-12-31 01:55:00,-1.0,SNIPER,USDCAD,-48.5,3419.25,-68.97689768976898
2025-12-31 04:10:00,-1.0,SNIPER,SOLUSD,-48.5,3370.75,-69.41694169416942
2025-12-31 06:15:00,-1.0,SNIPER,BTCUSD,-48.5,3322.25,-69.85698569856986
2025-12-31 06:30:00,-1.0,SNIPER,USDCAD,-48.5,3273.75,-70.29702970297029
2025-12-31 07:35:00,-1.0,SNIPER,EURUSD,-48.5,3225.25,-70.73707370737074
2025-12-31 07:40:00,-1.0,SNIPER,USDJPY,-48.5,3176.75,-71.17711771177117
