symbol,time,pnl_r,is_winner,dollar_pnl,balance
CADCHF,2026-02-09 15:30:00,-1.0,False,-2500.0,906250.0
AUDJPY,2026-02-09 16:00:00,2.5,True,6250.0,912500.0
GBPCAD,2026-02-09 16:05:00,-1.0,False,-2500.0,910000.0
GBPCAD,2026-02-09 16:10:00,2.5,True,6250.0,916250.0
USDCAD,2026-02-09 16:25:00,-1.0,False,-2500.0,913750.0
AUDNZD,2026-02-09 16:30:00,-1.0,False,-2500.0,911250.0
AUDNZD,2026-02-09 16:35:00,-1.0,False,-2500.0,908750.0
AUDUSD,2026-02-09 16:35:00,-1.0,False,-2500.0,906250.0
SOLUSD,2026-02-09 17:00:00,-1.0,False,-2500.0,903750.0
SOLUSD,2026-02-09 19:35:00,-1.0,False,-2500.0,901250.0
GBPUSD,2026-02-09 20:55:00,-1.0,False,-2500.0,898750.0
USDJPY,2026-02-09 21:30:00,-1.0,False,-2500.0,896250.0
EURJPY,2026-02-09 21:35:00,-1.0,False,-2500.0,893750.0
USDJPY,2026-02-09 21:35:00,-1.0,False,-2500.0,891250.0
EURJPY,2026-02-09 21:40:00,2.5,True,6250.0,897500.0
USDJPY,2026-02-09 21:40:00,2.5,True,6250.0,903750.0
ETHUSD,2026-02-09 23:30:00,2.5,True,6250.0,910000.0
AUDNZD,2026-02-10 00:05:00,-1.0,False,-2500.0,907500.0
AUDUSD,2026-02-10 00:05:00,-1.0,False,-2500.0,905000.0
NZDUSD,2026-02-10 00:05:00,2.5,True,6250.0,911250.0
AUDJPY,2026-02-10 04:45:00,-1.0,False,-2500.0,908750.0
EURJPY,2026-02-10 04:45:00,-1.0,False,-2500.0,906250.0
GBPJPY,2026-02-10 04:45:00,-1.0,False,-2500.0,903750.0
AUDJPY,2026-02-10 05:00:00,-1.0,False,-2500.0,901250.0
CADCHF,2026-02-10 05:05:00,-1.0,False,-2500.0,898750.0
ETHUSD,2026-02-10 05:15:00,-1.0,False,-2500.0,896250.0
BTCUSD,2026-02-10 05:15:00,-1.0,False,-2500.0,893750.0
SOLUSD,2026-02-10 05:15:00,-1.0,False,-2500.0,891250.0
ETHUSD,2026-02-10 05:25:00,-1.0,False,-2500.0,888750.0
EURGBP,2026-02-10 08:00:00,-1.0,False,-2500.0,886250.0
EURGBP,2026-02-10 08:05:00,-1.0,False,-2500.0,883750.0
EURGBP,2026-02-10 08:10:00,2.5,True,6250.0,890000.0
GBPUSD,2026-02-10 08:15:00,-1.0,False,-2500.0,887500.0
SOLUSD,2026-02-10 08:45:00,-1.0,False,-2500.0,885000.0
ETHUSD,2026-02-10 08:45:00,-1.0,False,-2500.0,882500.0
ETHUSD,2026-02-10 08:50:00,2.5,True,6250.0,888750.0
SOLUSD,2026-02-10 08:50:00,-1.0,False,-2500.0,886250.0
EURGBP,2026-02-10 10:05:00,-1.0,False,-2500.0,883750.0
EURGBP,2026-02-10 11:30:00,2.5,True,6250.0,890000.0
AUDJPY,2026-02-10 12:00:00,-1.0,False,-2500.0,887500.0
GBPJPY,2026-02-10 14:10:00,-1.0,False,-2500.0,885000.0
GBPCAD,2026-02-10 14:10:00,-1.0,False,-2500.0,882500.0
GBPUSD,2026-02-10 14:10:00,-1.0,False,-2500.0,880000.0
EURGBP,2026-02-10 14:10:00,-1.0,False,-2500.0,877500.0
GBPUSD,2026-02-10 14:15:00,-1.0,False,-2500.0,875000.0
GBPCAD,2026-02-10 14:15:00,-1.0,False,-2500.0,872500.0
GBPCAD,2026-02-10 14:20:00,-1.0,False,-2500.0,870000.0
EURGBP,2026-02-10 14:20:00,-1.0,False,-2500.0,867500.0
GBPUSD,2026-02-10 14:20:00,-1.0,False,-2500.0,865000.0
BTCUSD,2026-02-10 16:15:00,2.5,True,6250.0,871250.0
AUDUSD,2026-02-10 16:15:00,2.5,True,6250.0,877500.0
AUDJPY,2026-02-10 16:45:00,2.5,True,6250.0,883750.0
CADCHF,2026-02-10 17:30:00,-1.0,False,-2500.0,881250.0
SOLUSD,2026-02-10 20:30:00,-1.0,False,-2500.0,878750.0
BTCUSD,2026-02-10 20:30:00,-1.0,False,-2500.0,876250.0
EURUSD,2026-02-10 21:55:00,2.5,True,6250.0,882500.0
AUDNZD,2026-02-10 23:05:00,2.5,True,6250.0,888750.0
AUDNZD,2026-02-10 23:10:00,2.5,True,6250.0,895000.0
GBPCAD,2026-02-10 23:45:00,-1.0,False,-2500.0,892500.0
CADCHF,2026-02-11 00:05:00,2.5,True,6250.0,898750.0
NZDUSD,2026-02-11 00:50:00,-1.0,False,-2500.0,896250.0
BTCUSD,2026-02-11 02:25:00,2.5,True,6250.0,902500.0
USDJPY,2026-02-11 02:30:00,-1.0,False,-2500.0,900000.0
GBPJPY,2026-02-11 02:30:00,-1.0,False,-2500.0,897500.0
AUDUSD,2026-02-11 02:35:00,-1.0,False,-2500.0,895000.0
EURJPY,2026-02-11 02:40:00,-1.0,False,-2500.0,892500.0
GBPJPY,2026-02-11 02:40:00,-1.0,False,-2500.0,890000.0
AUDJPY,2026-02-11 02:40:00,-1.0,False,-2500.0,887500.0
USDJPY,2026-02-11 02:40:00,-1.0,False,-2500.0,885000.0
AUDUSD,2026-02-11 02:50:00,-1.0,False,-2500.0,882500.0
GBPUSD,2026-02-11 03:00:00,-1.0,False,-2500.0,880000.0
NZDUSD,2026-02-11 03:00:00,-1.0,False,-2500.0,877500.0
AUDNZD,2026-02-11 03:40:00,-1.0,False,-2500.0,875000.0
AUDNZD,2026-02-11 03:45:00,-1.0,False,-2500.0,872500.0
NZDUSD,2026-02-11 04:35:00,2.5,True,6250.0,878750.0
BTCUSD,2026-02-11 05:15:00,-1.0,False,-2500.0,876250.0
ETHUSD,2026-02-11 05:15:00,2.5,True,6250.0,882500.0
SOLUSD,2026-02-11 05:15:00,2.5,True,6250.0,888750.0
EURJPY,2026-02-11 06:25:00,-1.0,False,-2500.0,886250.0
GBPJPY,2026-02-11 06:25:00,-1.0,False,-2500.0,883750.0
AUDNZD,2026-02-11 07:00:00,-1.0,False,-2500.0,881250.0
AUDUSD,2026-02-11 07:00:00,2.5,True,6250.0,887500.0
BTCUSD,2026-02-11 08:10:00,-1.0,False,-2500.0,885000.0
SOLUSD,2026-02-11 08:10:00,-1.0,False,-2500.0,882500.0
SOLUSD,2026-02-11 08:15:00,-1.0,False,-2500.0,880000.0
ETHUSD,2026-02-11 08:15:00,-1.0,False,-2500.0,877500.0
EURGBP,2026-02-11 10:40:00,-1.0,False,-2500.0,875000.0
AUDJPY,2026-02-11 11:10:00,-1.0,False,-2500.0,872500.0
USDJPY,2026-02-11 13:00:00,-1.0,False,-2500.0,870000.0
GBPCAD,2026-02-11 13:40:00,-1.0,False,-2500.0,867500.0
USDCAD,2026-02-11 13:40:00,-1.0,False,-2500.0,865000.0
CADCHF,2026-02-11 13:45:00,2.5,True,6250.0,871250.0
USDCAD,2026-02-11 13:45:00,-1.0,False,-2500.0,868750.0
GBPCAD,2026-02-11 13:45:00,-1.0,False,-2500.0,866250.0
EURUSD,2026-02-11 15:30:00,2.5,True,6250.0,872500.0
USDJPY,2026-02-11 15:30:00,2.5,True,6250.0,878750.0
NZDUSD,2026-02-11 15:30:00,2.5,True,6250.0,885000.0
GBPUSD,2026-02-11 15:30:00,2.5,True,6250.0,891250.0
AUDUSD,2026-02-11 15:30:00,2.5,True,6250.0,897500.0
USDCAD,2026-02-11 15:30:00,-1.0,False,-2500.0,895000.0
EURJPY,2026-02-11 15:35:00,2.5,True,6250.0,901250.0
ETHUSD,2026-02-11 16:10:00,2.5,True,6250.0,907500.0
GBPCAD,2026-02-11 17:15:00,2.5,True,6250.0,913750.0
GBPJPY,2026-02-11 18:50:00,-1.0,False,-2500.0,911250.0
CADCHF,2026-02-11 19:40:00,2.5,True,6250.0,917500.0
NZDUSD,2026-02-12 00:05:00,2.5,True,6250.0,923750.0
AUDNZD,2026-02-12 00:20:00,2.5,True,6250.0,930000.0
AUDNZD,2026-02-12 00:25:00,2.5,True,6250.0,936250.0
USDCAD,2026-02-12 02:05:00,2.5,True,6250.0,942500.0
GBPCAD,2026-02-12 02:55:00,-1.0,False,-2500.0,940000.0
GBPCAD,2026-02-12 05:05:00,2.5,True,6250.0,946250.0
SOLUSD,2026-02-12 07:15:00,2.5,True,6250.0,952500.0
EURGBP,2026-02-12 08:00:00,-1.0,False,-2500.0,950000.0
SOLUSD,2026-02-12 11:25:00,-1.0,False,-2500.0,947500.0
SOLUSD,2026-02-12 17:05:00,-1.0,False,-2500.0,945000.0
GBPUSD,2026-02-12 18:10:00,-1.0,False,-2500.0,942500.0
AUDJPY,2026-02-12 18:15:00,-1.0,False,-2500.0,940000.0
GBPUSD,2026-02-12 18:15:00,-1.0,False,-2500.0,937500.0
AUDJPY,2026-02-12 18:20:00,2.5,True,6250.0,943750.0
AUDUSD,2026-02-12 18:20:00,-1.0,False,-2500.0,941250.0
NZDUSD,2026-02-12 18:20:00,-1.0,False,-2500.0,938750.0
USDCAD,2026-02-12 21:15:00,2.5,True,6250.0,945000.0
EURJPY,2026-02-12 22:45:00,-1.0,False,-2500.0,942500.0
GBPJPY,2026-02-12 22:45:00,-1.0,False,-2500.0,940000.0
AUDJPY,2026-02-12 22:45:00,-1.0,False,-2500.0,937500.0
USDJPY,2026-02-12 22:45:00,-1.0,False,-2500.0,935000.0
EURJPY,2026-02-12 22:55:00,-1.0,False,-2500.0,932500.0
USDJPY,2026-02-12 22:55:00,2.5,True,6250.0,938750.0
GBPJPY,2026-02-12 22:55:00,-1.0,False,-2500.0,936250.0
AUDNZD,2026-02-13 00:15:00,-1.0,False,-2500.0,933750.0
CADCHF,2026-02-13 00:20:00,2.5,True,6250.0,940000.0
AUDNZD,2026-02-13 00:25:00,2.5,True,6250.0,946250.0
ETHUSD,2026-02-13 00:40:00,-1.0,False,-2500.0,943750.0
ETHUSD,2026-02-13 00:45:00,-1.0,False,-2500.0,941250.0
BTCUSD,2026-02-13 00:45:00,-1.0,False,-2500.0,938750.0
GBPJPY,2026-02-13 03:05:00,-1.0,False,-2500.0,936250.0
EURUSD,2026-02-13 06:45:00,-1.0,False,-2500.0,933750.0
ETHUSD,2026-02-13 07:05:00,-1.0,False,-2500.0,931250.0
EURGBP,2026-02-13 07:05:00,2.5,True,6250.0,937500.0
ETHUSD,2026-02-13 07:10:00,-1.0,False,-2500.0,935000.0
CADCHF,2026-02-13 09:30:00,2.5,True,6250.0,941250.0
EURGBP,2026-02-13 09:40:00,-1.0,False,-2500.0,938750.0
AUDJPY,2026-02-13 10:00:00,-1.0,False,-2500.0,936250.0
ETHUSD,2026-02-13 10:45:00,-1.0,False,-2500.0,933750.0
SOLUSD,2026-02-13 10:45:00,-1.0,False,-2500.0,931250.0
EURGBP,2026-02-13 12:15:00,2.5,True,6250.0,937500.0
CADCHF,2026-02-13 12:55:00,-1.0,False,-2500.0,935000.0
CADCHF,2026-02-13 13:00:00,-1.0,False,-2500.0,932500.0
AUDNZD,2026-02-13 15:25:00,-1.0,False,-2500.0,930000.0
USDJPY,2026-02-13 15:30:00,-1.0,False,-2500.0,927500.0
ETHUSD,2026-02-13 17:05:00,-1.0,False,-2500.0,925000.0
GBPJPY,2026-02-13 21:40:00,-1.0,False,-2500.0,922500.0
BTCUSD,2026-02-14 09:40:00,-1.0,False,-2500.0,920000.0
BTCUSD,2026-02-14 09:45:00,-1.0,False,-2500.0,917500.0
BTCUSD,2026-02-14 09:50:00,-1.0,False,-2500.0,915000.0
SOLUSD,2026-02-14 10:00:00,-1.0,False,-2500.0,912500.0
ETHUSD,2026-02-14 10:05:00,-1.0,False,-2500.0,910000.0
SOLUSD,2026-02-14 10:05:00,-1.0,False,-2500.0,907500.0
ETHUSD,2026-02-14 10:10:00,-1.0,False,-2500.0,905000.0
SOLUSD,2026-02-14 13:10:00,-1.0,False,-2500.0,902500.0
ETHUSD,2026-02-14 13:10:00,-1.0,False,-2500.0,900000.0
BTCUSD,2026-02-14 13:10:00,-1.0,False,-2500.0,897500.0
ETHUSD,2026-02-14 13:20:00,2.5,True,6250.0,903750.0
BTCUSD,2026-02-14 13:20:00,-1.0,False,-2500.0,901250.0
SOLUSD,2026-02-14 13:20:00,-1.0,False,-2500.0,898750.0
ETHUSD,2026-02-15 02:35:00,-1.0,False,-2500.0,896250.0
ETHUSD,2026-02-15 03:25:00,-1.0,False,-2500.0,893750.0
BTCUSD,2026-02-15 06:05:00,-1.0,False,-2500.0,891250.0
BTCUSD,2026-02-15 09:15:00,2.5,True,6250.0,897500.0
SOLUSD,2026-02-15 14:50:00,-1.0,False,-2500.0,895000.0
BTCUSD,2026-02-15 14:50:00,-1.0,False,-2500.0,892500.0
ETHUSD,2026-02-15 14:50:00,-1.0,False,-2500.0,890000.0
SOLUSD,2026-02-15 14:55:00,-1.0,False,-2500.0,887500.0
ETHUSD,2026-02-15 14:55:00,-1.0,False,-2500.0,885000.0
BTCUSD,2026-02-15 14:55:00,-1.0,False,-2500.0,882500.0
BTCUSD,2026-02-15 19:45:00,2.5,True,6250.0,888750.0
ETHUSD,2026-02-15 19:45:00,-1.0,False,-2500.0,886250.0
GBPCAD,2026-02-16 00:05:00,2.5,True,6250.0,892500.0
NZDUSD,2026-02-16 00:05:00,2.5,True,6250.0,898750.0
NZDUSD,2026-02-16 00:10:00,2.5,True,6250.0,905000.0
EURJPY,2026-02-16 02:10:00,-1.0,False,-2500.0,902500.0
CADCHF,2026-02-16 04:00:00,2.5,True,6250.0,908750.0
GBPUSD,2026-02-16 08:40:00,2.5,True,6250.0,915000.0
USDJPY,2026-02-16 08:40:00,2.5,True,6250.0,921250.0
AUDUSD,2026-02-16 08:45:00,2.5,True,6250.0,927500.0
AUDNZD,2026-02-16 08:55:00,-1.0,False,-2500.0,925000.0
CADCHF,2026-02-16 09:15:00,-1.0,False,-2500.0,922500.0
EURGBP,2026-02-16 09:40:00,-1.0,False,-2500.0,920000.0
