position_id,profit,comment_exit,symbol,comment_entry,strategy
106175395,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106175379,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106175384,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106175392,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106175399,-7.4,[sl 85.61],SOLUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106175405,-7.45,[sl 85.60],SOLUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106175407,-7.45,[sl 85.59],SOLUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106175401,-7.45,[sl 85.60],SOLUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106175424,-7.5,[sl 85.57],SOLUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106175427,-7.5,[sl 85.57],SOLUSD,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106175421,-7.6,[sl 85.56],SOLUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106175415,-7.45,[sl 85.55],SOLUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106175413,-7.6,[sl 85.56],SOLUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106175410,-7.6,[sl 85.56],SOLUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106175419,-7.5,[sl 85.55],SOLUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106167226,-405.9,[sl 69339.59],BTCUSD,LHN_BETA_SNIPER,LHN_BETA_SNIPER
106167238,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106167235,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A32R15_,LHN_ALFA_A32R15_
106167236,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106167271,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A32R15_,LHN_ALFA_A32R15_
106167257,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106167233,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106167272,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A15R20_,LHN_EXPL_A15R20_
106167240,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106167281,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A15R30_,LHN_EXPL_A15R30_
106167247,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106167287,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A32R30_,LHN_EXPL_A32R30_
106167282,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A20R30_,LHN_EXPL_A20R30_
106167256,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106167284,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A25R30_,LHN_EXPL_A25R30_
106167273,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A20R20_,LHN_EXPL_A20R20_
106167251,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106167229,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106167245,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A32R15_,LHN_ALFA_A32R15_
106167231,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106167274,-52.64,[sl 69334.09],BTCUSD,LHN_EXPL_A25R20_,LHN_EXPL_A25R20_
106167227,-52.55,[sl 69334.09],BTCUSD,LHN_ALFA_A15R15_,LHN_ALFA_A15R15_
106167242,-52.64,[sl 69334.09],BTCUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106167252,-51.9,[sl 69334.09],BTCUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106167254,-51.9,[sl 69334.09],BTCUSD,LHN_ALFA_A32R15_,LHN_ALFA_A32R15_
106167269,-51.9,[sl 69334.09],BTCUSD,LHN_ALFA_A28R15_,LHN_ALFA_A28R15_
106167266,-51.9,[sl 69334.09],BTCUSD,LHN_ALFA_A25R15_,LHN_ALFA_A25R15_
106167249,-51.9,[sl 69334.09],BTCUSD,LHN_ALFA_A20R15_,LHN_ALFA_A20R15_
106167286,-51.9,[sl 69334.09],BTCUSD,LHN_EXPL_A28R30_,LHN_EXPL_A28R30_
106167277,-51.9,[sl 69334.09],BTCUSD,LHN_EXPL_A28R20_,LHN_EXPL_A28R20_
106167280,-51.9,[sl 69334.09],BTCUSD,LHN_EXPL_A32R20_,LHN_EXPL_A32R20_
