symbol,time,pnl_r,dollar_pnl,balance
GBPCAD,2026-03-23 14:05:00,-1.1,-55.00000000000001,-7725.000000000004
GBPUSD,2026-03-23 14:05:00,1.4,70.0,-7655.000000000004
ETHUSD,2026-03-23 14:05:00,-1.1,-55.00000000000001,-7710.000000000004
SOLUSD,2026-03-23 14:05:00,-1.1,-55.00000000000001,-7765.000000000004
AUDJPY,2026-03-23 14:05:00,1.4,70.0,-7695.000000000004
GBPJPY,2026-03-23 14:05:00,1.4,70.0,-7625.000000000004
USDCAD,2026-03-23 14:05:00,1.4,70.0,-7555.000000000004
EURGBP,2026-03-23 14:05:00,1.4,70.0,-7485.000000000004
USDJPY,2026-03-23 14:05:00,-1.1,-55.00000000000001,-7540.000000000004
AUDJPY,2026-03-23 14:10:00,1.4,70.0,-7470.000000000004
BTCUSD,2026-03-23 14:10:00,1.4,70.0,-7400.000000000004
USDJPY,2026-03-23 14:10:00,-1.1,-55.00000000000001,-7455.000000000004
EURUSD,2026-03-23 14:10:00,-1.1,-55.00000000000001,-7510.000000000004
NZDUSD,2026-03-23 14:10:00,1.4,70.0,-7440.000000000004
SOLUSD,2026-03-23 14:10:00,1.4,70.0,-7370.000000000004
ETHUSD,2026-03-23 14:10:00,1.4,70.0,-7300.000000000004
AUDNZD,2026-03-23 14:10:00,1.4,70.0,-7230.000000000004
AUDUSD,2026-03-23 14:10:00,1.4,70.0,-7160.000000000004
GBPCAD,2026-03-23 14:10:00,-1.1,-55.00000000000001,-7215.000000000004
CADCHF,2026-03-23 14:15:00,-1.1,-55.00000000000001,-7270.000000000004
EURJPY,2026-03-23 14:30:00,-1.1,-55.00000000000001,-7325.000000000004
GBPUSD,2026-03-23 17:20:00,1.4,70.0,-7255.000000000004
GBPJPY,2026-03-23 17:25:00,1.4,70.0,-7185.000000000004
GBPJPY,2026-03-23 17:30:00,1.4,70.0,-7115.000000000004
CADCHF,2026-03-23 17:35:00,1.4,70.0,-7045.000000000004
GBPUSD,2026-03-24 07:15:00,1.4,70.0,-6975.000000000004
EURUSD,2026-03-24 08:40:00,-1.1,-55.00000000000001,-7030.000000000004
USDJPY,2026-03-24 08:40:00,-1.1,-55.00000000000001,-7085.000000000004
GBPCAD,2026-03-24 09:00:00,-1.1,-55.00000000000001,-7140.000000000004
GBPCAD,2026-03-24 09:05:00,-1.1,-55.00000000000001,-7195.000000000004
GBPUSD,2026-03-24 09:05:00,-1.1,-55.00000000000001,-7250.000000000004
GBPUSD,2026-03-24 10:00:00,-1.1,-55.00000000000001,-7305.000000000004
SOLUSD,2026-03-24 10:00:00,-1.1,-55.00000000000001,-7360.000000000004
USDCAD,2026-03-24 10:00:00,-1.1,-55.00000000000001,-7415.000000000004
NZDUSD,2026-03-24 10:00:00,-1.1,-55.00000000000001,-7470.000000000004
BTCUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7525.000000000004
SOLUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7580.000000000004
USDCAD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7635.000000000004
ETHUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7690.000000000004
GBPUSD,2026-03-24 10:05:00,1.4,70.0,-7620.000000000004
NZDUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7675.000000000004
EURJPY,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7730.000000000004
AUDUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7785.000000000004
EURUSD,2026-03-24 10:05:00,-1.1,-55.00000000000001,-7840.000000000004
NZDUSD,2026-03-24 10:10:00,1.4,70.0,-7770.000000000004
EURJPY,2026-03-24 10:10:00,1.4,70.0,-7700.000000000004
