symbol,time,pnl_r,dollar_pnl,balance
EURJPY,2026-02-17 16:00:00,-1.1,-55.00000000000001,3319.999999999999
BTCUSD,2026-02-17 16:40:00,-1.1,-55.00000000000001,3264.999999999999
BTCUSD,2026-02-17 16:45:00,-1.1,-55.00000000000001,3209.999999999999
SOLUSD,2026-02-17 16:45:00,-1.1,-55.00000000000001,3154.999999999999
SOLUSD,2026-02-17 16:50:00,2.4,120.0,3274.999999999999
BTCUSD,2026-02-17 16:50:00,2.4,120.0,3394.999999999999
ETHUSD,2026-02-17 16:50:00,2.4,120.0,3514.999999999999
EURUSD,2026-02-17 17:25:00,2.4,120.0,3634.999999999999
GBPUSD,2026-02-17 17:25:00,2.4,120.0,3754.999999999999
GBPUSD,2026-02-17 17:30:00,2.4,120.0,3874.999999999999
GBPCAD,2026-02-17 17:50:00,2.4,120.0,3994.999999999999
EURGBP,2026-02-18 09:00:00,-1.1,-55.00000000000001,3939.999999999999
AUDNZD,2026-02-18 09:10:00,2.4,120.0,4059.999999999999
EURGBP,2026-02-18 09:15:00,-1.1,-55.00000000000001,4004.999999999999
AUDNZD,2026-02-18 09:15:00,2.4,120.0,4124.999999999999
GBPJPY,2026-02-18 09:30:00,-1.1,-55.00000000000001,4069.999999999999
GBPCAD,2026-02-18 09:30:00,-1.1,-55.00000000000001,4014.999999999999
ETHUSD,2026-02-18 09:45:00,-1.1,-55.00000000000001,3959.999999999999
AUDJPY,2026-02-18 10:00:00,-1.1,-55.00000000000001,3904.999999999999
ETHUSD,2026-02-18 12:30:00,-1.1,-55.00000000000001,3849.999999999999
ETHUSD,2026-02-18 12:40:00,-1.1,-55.00000000000001,3794.999999999999
BTCUSD,2026-02-18 12:40:00,-1.1,-55.00000000000001,3739.999999999999
AUDJPY,2026-02-18 13:05:00,-1.1,-55.00000000000001,3684.999999999999
BTCUSD,2026-02-18 13:05:00,2.4,120.0,3804.999999999999
ETHUSD,2026-02-18 13:05:00,-1.1,-55.00000000000001,3749.999999999999
SOLUSD,2026-02-18 13:05:00,-1.1,-55.00000000000001,3694.999999999999
AUDNZD,2026-02-18 13:15:00,2.4,120.0,3814.999999999999
EURUSD,2026-02-18 14:20:00,-1.1,-55.00000000000001,3759.999999999999
EURUSD,2026-02-18 14:25:00,-1.1,-55.00000000000001,3704.999999999999
CADCHF,2026-02-18 14:30:00,-1.1,-55.00000000000001,3649.999999999999
NZDUSD,2026-02-18 15:20:00,-1.1,-55.00000000000001,3594.999999999999
GBPUSD,2026-02-18 15:30:00,-1.1,-55.00000000000001,3539.999999999999
BTCUSD,2026-02-18 15:50:00,-1.1,-55.00000000000001,3484.999999999999
GBPCAD,2026-02-18 16:15:00,-1.1,-55.00000000000001,3429.999999999999
