symbol,time,type,pnl_r,regime,dollar_pnl,balance
AUDUSD,2025-12-22 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6430.0
AUDUSD,2025-12-23 06:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6395.0
AUDUSD,2025-12-24 06:25:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6360.0
AUDUSD,2025-12-26 07:40:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6325.0
AUDUSD,2025-12-29 06:10:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6290.0
AUDUSD,2025-12-30 07:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6255.0
AUDUSD,2025-12-31 08:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6307.5
AUDUSD,2026-01-02 06:05:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6360.0
AUDUSD,2026-01-05 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6325.0
AUDUSD,2026-01-06 07:45:00,ANTITESIS,2.0999999999999996,TRENDING,104.99999999999999,6430.0
AUDUSD,2026-01-07 07:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6395.0
AUDUSD,2026-01-08 06:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6360.0
AUDUSD,2026-01-09 07:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6325.0
AUDUSD,2026-01-12 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6290.0
AUDUSD,2026-01-13 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6255.0
AUDUSD,2026-01-14 06:20:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6220.0
AUDUSD,2026-01-15 06:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6185.0
AUDUSD,2026-01-16 07:05:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6150.0
AUDUSD,2026-01-19 08:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6115.0
AUDUSD,2026-01-20 08:00:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6080.0
AUDUSD,2026-01-21 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6045.0
AUDUSD,2026-01-22 06:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6010.0
AUDUSD,2026-01-23 06:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6062.5
AUDUSD,2026-01-26 06:20:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6115.0
AUDUSD,2026-01-27 07:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6080.0
AUDUSD,2026-01-28 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6045.0
AUDUSD,2026-01-29 07:25:00,ANTITESIS,-0.7,TRENDING,-35.0,6010.0
AUDUSD,2026-01-30 06:05:00,ANTITESIS,-0.7,TRENDING,-35.0,5975.0
AUDUSD,2026-02-02 06:25:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6027.5
AUDUSD,2026-02-03 06:45:00,ANTITESIS,2.0999999999999996,TRENDING,104.99999999999999,6132.5
AUDUSD,2026-02-04 08:45:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6097.5
AUDUSD,2026-02-05 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6062.5
AUDUSD,2026-02-06 06:30:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6115.0
AUDUSD,2026-02-09 06:50:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6080.0
AUDUSD,2026-02-10 07:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6132.5
AUDUSD,2026-02-11 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6097.5
AUDUSD,2026-02-12 07:45:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6150.0
AUDUSD,2026-02-13 06:15:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6115.0
AUDUSD,2026-02-16 06:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6167.5
AUDUSD,2026-02-17 07:20:00,TESIS_DOWN,-0.7,TRENDING,-35.0,6132.5
AUDUSD,2026-02-18 06:05:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6185.0
AUDUSD,2026-02-19 07:35:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6150.0
AUDUSD,2026-02-20 06:40:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6202.5
AUDUSD,2026-02-23 06:30:00,ANTITESIS,-0.7,CALM_RANGE,-35.0,6167.5
AUDUSD,2026-02-24 07:10:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6220.0
AUDUSD,2026-02-25 08:10:00,ANTITESIS,1.0499999999999998,CALM_RANGE,52.49999999999999,6272.5
