Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
402100136,"2026-03-13 18:13:59",buy,0.01,CADJPY,116.20100000,115.892,116.65900000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17,203994
402100116,"2026-03-13 18:13:59",buy,0.01,CADJPY,116.20100000,115.97,116.54500000,"2026-03-16 02:53:53",116.37100000,0.01,-0.06,1.07000000,17,203994
402506443,"2026-03-16 02:03:57",sell,0.01,BTCUSD,72900.53000000,73782.48,71631.36000000,"2026-03-16 02:53:53",72633.41000000,0,-0.48,2.67000000,267.1,2996
402272873,"2026-03-13 22:40:41",buy,1.95,BTCUSD,71054.44000000,71054.54,75513.86000000,"2026-03-16 02:53:53",72632.41000000,-347.86,-91.06,3077.04000000,1578,187992
402508725,"2026-03-16 02:06:10",sell,4.36,AUDUSD,0.69965000,0.7021,0.69602000,"2026-03-16 02:53:53",0.70052000,0,-21.8,-379.32000000,-8.7,2863
401921943,"2026-03-13 15:50:12",sell,8.26,AUDUSD,0.70564000,0.70554,0.69596000,"2026-03-16 02:53:53",0.70052000,-40.14,-41.3,4229.12000000,51.2,212621
402539778,"2026-03-16 02:43:34",sell,10.41,AUDJPY,111.70700000,112.025,110.77600000,"2026-03-16 02:53:53",111.77700000,0,-52.06,-456.69000000,-7,619
402539664,"2026-03-16 02:43:21",sell,5.21,AUDJPY,111.70800000,112.025,111.24400000,"2026-03-16 02:53:53",111.77700000,0,-26.06,-225.30000000,-6.9,632
402539757,"2026-03-16 02:43:50",sell,10.41,AUDJPY,111.70300000,112.021,111.08400000,"2026-03-16 02:53:53",111.77700000,0,-52.06,-482.79000000,-7.4,603
402539636,"2026-03-16 02:43:21",sell,5.21,AUDJPY,111.70800000,112.025,111.24400000,"2026-03-16 02:53:53",111.77700000,0,-26.06,-225.30000000,-6.9,632
402485408,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.081,113.86900000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485407,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.304,112.97700000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485405,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.081,113.31100000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485403,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.304,112.64200000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485394,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,110.747,112.97700000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485391,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.081,112.47500000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485392,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,110.97,112.64200000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485388,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.305,112.14200000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485390,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.193,112.30800000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485389,"2026-03-16 01:27:49",buy,0.01,AUDJPY,111.63700000,111.238,112.24100000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.81000000,12.9,5164
402485385,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.372,112.04100000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485383,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.417,111.97500000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485382,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.194,112.75500000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485380,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.305,112.47600000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485379,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.194,112.53200000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485378,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.305,112.30900000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485377,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.194,112.44300000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485376,"2026-03-16 01:27:53",buy,0.01,AUDJPY,111.64100000,111.306,112.24300000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.5,5160
402485375,"2026-03-16 01:27:56",buy,0.01,AUDJPY,111.64200000,111.196,112.31100000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.78000000,12.4,5157
402485374,"2026-03-16 01:28:08",buy,0.01,AUDJPY,111.64700000,111.31,112.14700000,"2026-03-16 02:53:53",111.76600000,0,-0.06,0.75000000,11.9,5145
402279285,"2026-03-13 22:48:33",buy,0.26,XAUUSD,5015.89000000,4974.7,5077.53000000,"2026-03-16 02:23:12",4974.49000000,-22,-1.82,-1076.40000000,-41.4,185679
402279293,"2026-03-13 22:48:33",buy,0.53,XAUUSD,5015.92000000,4974.7,5077.53000000,"2026-03-16 02:23:12",4974.46000000,-44.85,-3.71,-2197.38000000,-41.5,185679
402279305,"2026-03-13 22:48:36",buy,0.53,XAUUSD,5016.31000000,4975.13,5139.66000000,"2026-03-16 02:23:11",4975.05000000,-44.85,-3.71,-2186.78000000,-41.3,185675
402279328,"2026-03-13 22:48:38",buy,0.53,XAUUSD,5016.29000000,4975.13,5180.80000000,"2026-03-16 02:23:11",4975.05000000,-44.85,-3.71,-2185.72000000,-41.2,185673
402123751,"2026-03-13 18:41:21",buy,0.01,XAUUSD,5054.08000000,4983.63,5159.11000000,"2026-03-16 02:20:24",4983.45000000,-0.85,-0.07,-70.63000000,-70.6,200343
402123832,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,4995.33,5287.80000000,"2026-03-16 02:20:14",4994.48000000,-0.85,-0.07,-59.60000000,-59.6,200334
402123811,"2026-03-13 18:41:21",buy,0.01,XAUUSD,5054.08000000,4995.33,5229.30000000,"2026-03-16 02:20:14",4994.48000000,-0.85,-0.07,-59.60000000,-59.6,200333
402123735,"2026-03-13 18:41:20",buy,0.01,XAUUSD,5054.08000000,4995.33,5141.56000000,"2026-03-16 02:20:14",4994.48000000,-0.85,-0.07,-59.60000000,-59.6,200334
402120725,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,93.17,84.84000000,"2026-03-16 02:06:34",93.20000000,-0.22,-0.06,-3.38000000,-3.4,199468
402167604,"2026-03-13 19:24:36",buy,10.93,USDCAD,1.37389000,1.37121,1.37786000,"2026-03-16 02:05:50",1.37117000,7.32,-54.66,-2168.19000000,-27.2,196874
402167616,"2026-03-13 19:24:36",buy,10.93,USDCAD,1.37390000,1.37122,1.37920000,"2026-03-16 02:00:58",1.37120000,7.32,-54.66,-2152.20000000,-27,196582
402167577,"2026-03-13 19:24:52",buy,5.47,USDCAD,1.37393000,1.37125,1.37657000,"2026-03-16 02:00:34",1.37122000,3.67,-27.36,-1081.06000000,-27.1,196542
402120740,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.80000000,92.65,81.54000000,"2026-03-16 01:52:44",92.68000000,-0.22,-0.06,-2.88000000,-2.9,198638
402120719,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.82000000,92.61,85.66000000,"2026-03-16 01:52:44",92.68000000,-0.22,-0.06,-2.86000000,-2.9,198638
402120748,"2026-03-13 18:42:06",sell,0.01,SOLUSD,89.80000000,92.64,78.75000000,"2026-03-16 01:52:44",92.68000000,-0.22,-0.06,-2.88000000,-2.9,198638
402151888,"2026-03-13 19:03:05",sell,0.01,BTCUSD,71687.62000000,72629.47,69993.30000000,"2026-03-16 01:50:53",72630.34000000,-1.78,-0.47,-9.43000000,-942.7,197268
402151915,"2026-03-13 19:03:07",sell,0.01,BTCUSD,71680.91000000,72622.4,69797.94000000,"2026-03-16 01:50:53",72630.34000000,-1.78,-0.47,-9.49000000,-949.4,197266
402272892,"2026-03-13 22:41:14",sell,0.01,BTCUSD,71018.14000000,72508.17,68785.95000000,"2026-03-16 01:48:04",72509.86000000,-1.78,-0.47,-14.92000000,-1491.7,184010
